epoch,open,high,low,close,volume
1722988800,2424.2,2427.6,2421.1,2426.8,3683
1722992400,2426.8,2428.0,2418.8,2424.0,9659
1722996000,2424.0,2428.6,2420.7,2424.0,6576
1722999600,2424.2,2427.4,2423.0,2425.4,3268
1723003200,2426.0,2434.8,2425.7,2433.0,4749
1723006800,2432.7,2436.2,2428.4,2431.3,5761
1723010400,2431.3,2437.6,2429.4,2434.5,5729
1723014000,2434.7,2434.8,2428.0,2429.3,5334
1723017600,2429.2,2433.6,2428.0,2433.2,4924
1723021200,2433.4,2436.5,2432.5,2434.4,4622
1723024800,2434.5,2438.4,2433.2,2437.6,4450
1723028400,2437.6,2442.7,2434.2,2441.4,8425
1723032000,2441.4,2447.3,2439.2,2444.1,10367
1723035600,2444.3,2445.3,2436.7,2440.3,10761
1723039200,2440.1,2443.5,2438.1,2439.2,11757
1723042800,2439.3,2442.3,2432.1,2434.8,18030
1723046400,2434.7,2440.1,2433.1,2439.9,6772
1723050000,2439.9,2440.0,2429.6,2430.0,11891
1723053600,2429.9,2432.0,2423.9,2426.3,8614
1723057200,2426.2,2430.7,2425.3,2425.5,4978
1723060800,2426.1,2427.4,2421.7,2423.5,3729
1723068000,2422.8,2423.5,2420.2,2422.7,0
1723071600,2422.8,2425.0,2421.5,2423.8,2141
1723075200,2423.9,2427.9,2422.3,2424.3,4092
1723078800,2424.3,2430.4,2423.5,2425.4,6355
1723082400,2425.3,2429.7,2424.8,2429.6,2667
1723086000,2429.5,2433.8,2427.8,2433.0,2396
1723089600,2433.3,2435.1,2431.5,2433.2,3133
1723093200,2433.1,2434.4,2431.2,2434.2,2758
1723096800,2434.3,2439.7,2431.5,2436.6,6101
1723100400,2436.5,2439.1,2434.1,2435.6,4450
1723104000,2435.5,2437.0,2431.5,2433.2,3032
1723107600,2433.2,2437.9,2432.6,2435.0,4400
1723111200,2435.1,2445.7,2435.1,2444.5,6683
1723114800,2444.5,2453.1,2444.2,2451.7,14267
1723118400,2451.7,2455.3,2446.6,2447.4,16880
1723122000,2447.4,2454.9,2441.2,2453.4,22124
1723125600,2453.4,2464.0,2448.5,2453.2,30312
1723129200,2453.3,2459.8,2451.3,2458.1,8347
1723132800,2458.0,2463.4,2456.2,2457.5,9397
1723136400,2457.6,2464.5,2455.3,2463.0,11308
1723140000,2463.0,2465.8,2461.7,2463.6,4910
1723143600,2463.5,2464.3,2461.1,2463.1,4074
1723147200,2463.2,2467.9,2462.7,2467.4,2304
1723154400,2467.3,2467.6,2464.1,2465.1,0
1723158000,2465.1,2465.9,2462.2,2463.8,1613
1723161600,2464.1,2464.8,2461.8,2463.0,2277
1723165200,2463.3,2467.2,2459.4,2466.7,4777
1723168800,2466.6,2468.7,2461.7,2461.9,3500
1723172400,2462.0,2462.8,2458.9,2460.8,2397
1723176000,2460.5,2464.0,2459.7,2463.4,1703
1723179600,2462.6,2463.1,2456.4,2456.5,4047
1723183200,2456.3,2461.1,2456.1,2460.0,4538
1723186800,2459.9,2466.2,2459.5,2462.3,5022
1723190400,2462.4,2465.9,2461.2,2463.5,3660
1723194000,2463.6,2464.6,2461.8,2462.6,4149
1723197600,2462.7,2471.4,2462.1,2470.0,6911
1723201200,2470.1,2472.2,2464.5,2465.9,8893
1723204800,2465.9,2469.3,2462.7,2469.0,9613
1723208400,2469.2,2472.7,2460.0,2466.1,25690
1723212000,2466.0,2475.5,2464.5,2467.8,21486
1723215600,2467.8,2471.9,2465.8,2470.9,9900
1723219200,2471.8,2474.0,2466.6,2473.9,7335
1723222800,2473.9,2476.5,2469.9,2470.0,9481
1723226400,2470.1,2470.3,2466.6,2469.3,4122
1723230000,2469.3,2469.6,2466.7,2468.6,3576
1723233600,2468.6,2470.7,2468.5,2470.6,1992
1723413600,2470.1,2472.3,2466.0,2469.3,2007
1723417200,2469.2,2469.4,2466.2,2466.8,1751
1723420800,2466.8,2467.9,2465.7,2467.3,1474
1723424400,2467.3,2469.2,2463.5,2465.0,2572
1723428000,2464.8,2466.6,2462.7,2465.3,3049
1723431600,2465.0,2468.2,2464.8,2467.7,2120
1723435200,2467.6,2472.5,2467.0,2472.4,1707
1723438800,2472.3,2473.8,2467.9,2473.4,5214
1723442400,2473.4,2476.2,2472.4,2475.7,4298
1723446000,2475.9,2482.4,2474.4,2480.9,6274
1723449600,2481.1,2482.9,2478.9,2481.0,6417
1723453200,2481.0,2484.3,2480.0,2481.9,9049
1723456800,2481.9,2484.0,2480.5,2483.1,4861
1723460400,2483.2,2483.5,2478.8,2480.7,7909
1723464000,2480.7,2484.8,2480.5,2483.8,7025
1723467600,2483.9,2497.2,2481.4,2493.7,23604
1723471200,2493.7,2495.1,2483.7,2492.8,19344
1723474800,2492.6,2500.3,2492.3,2499.3,16305
1723478400,2499.3,2505.8,2498.5,2502.9,12277
1723482000,2502.8,2508.5,2501.3,2507.1,10869
1723485600,2507.0,2511.3,2506.3,2510.4,8055
1723489200,2510.3,2511.9,2509.8,2510.6,6202
1723492800,2510.7,2513.4,2510.5,2513.4,2464
1723500000,2512.6,2514.4,2509.9,2513.9,0
1723503600,2513.8,2516.6,2512.8,2515.6,2623
1723507200,2515.6,2517.3,2508.4,2511.9,5205
1723510800,2511.9,2513.7,2501.2,2506.7,7944
1723514400,2506.6,2507.8,2501.6,2501.6,2826
1723518000,2501.5,2505.0,2501.4,2503.5,3625
1723521600,2503.9,2505.4,2500.3,2502.3,2650
1723525200,2502.2,2504.5,2498.7,2503.0,5313
1723528800,2503.1,2504.6,2501.3,2503.4,3364
1723532400,2503.3,2505.5,2500.5,2503.8,6919
1723536000,2503.9,2503.9,2498.2,2499.9,5201
1723539600,2499.9,2501.9,2498.3,2500.0,3932
1723543200,2500.0,2502.9,2498.4,2501.4,4570
1723546800,2501.4,2506.4,2500.6,2505.3,7494
1723550400,2505.3,2512.5,2503.7,2507.3,17508
1723554000,2507.3,2514.9,2498.2,2514.7,19821
1723557600,2511.9,2512.8,2503.2,2511.0,13134
1723561200,2511.1,2512.8,2505.5,2508.3,8007
1723564800,2508.3,2510.8,2505.9,2509.2,6440
1723568400,2509.2,2510.1,2505.5,2507.3,6186
1723572000,2507.3,2508.7,2506.2,2507.6,3596
1723575600,2507.6,2508.8,2502.0,2506.9,4988
1723579200,2506.8,2507.5,2504.3,2504.9,2160
1723586400,2506.3,2506.7,2503.1,2505.1,0
1723590000,2505.0,2505.0,2502.4,2503.6,1600
1723593600,2503.7,2507.1,2503.5,2505.2,2393
1723597200,2505.2,2512.2,2503.9,2504.9,5423
1723600800,2504.8,2505.1,2494.5,2499.2,8046
1723604400,2499.2,2501.0,2498.2,2500.1,2227
1723608000,2500.0,2502.2,2499.3,2501.2,2330
1723611600,2501.1,2501.9,2498.4,2501.3,1799
1723615200,2501.5,2506.8,2499.6,2506.5,5502
1723618800,2506.2,2510.4,2505.3,2509.7,4935
1723622400,2509.8,2517.9,2507.7,2513.5,9503
1723626000,2513.5,2514.6,2510.1,2511.8,4549
1723629600,2511.9,2515.3,2509.5,2514.0,3999
1723633200,2514.2,2514.3,2510.7,2513.8,4146
1723636800,2513.8,2519.7,2500.8,2507.9,22634
1723640400,2507.9,2508.8,2487.7,2496.2,30440
1723644000,2496.1,2497.1,2485.4,2488.6,21097
1723647600,2488.6,2490.7,2480.3,2482.6,17290
1723651200,2482.5,2484.0,2476.2,2482.5,11796
1723654800,2482.4,2483.4,2478.6,2479.9,8093
1723658400,2479.9,2486.4,2478.9,2486.2,5411
1723662000,2486.0,2486.8,2482.6,2485.5,3775
1723665600,2485.6,2486.8,2484.8,2486.0,1535
1723672800,2486.2,2486.3,2484.0,2485.5,0
1723676400,2485.5,2486.9,2484.8,2486.8,2383
1723680000,2486.9,2491.5,2479.7,2487.3,6400
1723683600,2487.3,2490.8,2485.4,2488.0,4745
1723687200,2488.2,2490.0,2487.2,2488.9,2398
1723690800,2489.0,2491.9,2488.9,2491.1,1855
